State of offense,Number,Total,Detained,Committed
Alabama,804,161,62,77
Alaska,207,263,95,164
Arizona,531,71,39,28
Arkansas,585,183,65,116
California,"5,463",134,65,67
Colorado,993,172,62,110
Connecticut,99,27,13,14
Delaware,129,139,48,90
District of Columbia,93,215,145,69
Florida,"2,712",142,48,92
Georgia,"1,068",106,54,51
Hawaii,60,47,28,19
Idaho,408,200,43,157
Illinois,"1,071",80,41,38
Indiana,"1,335",185,74,102
Iowa,585,177,59,115
Kansas,423,132,66,65
Kentucky,555,122,35,76
Louisiana,762,178,62,114
Maine,93,78,25,53
Maryland,549,90,56,35
Massachusetts,309,48,21,26
Michigan,"1,260",143,35,107
Minnesota,675,116,38,68
Mississippi,273,83,48,34
Missouri,780,143,32,109
Montana,183,179,91,79
Nebraska,486,231,71,154
Nevada,588,191,79,110
New Hampshire,69,55,10,43
New Jersey,585,64,26,38
New Mexico,318,142,63,78
New York,870,63,13,50
North Carolina,366,46,16,30
North Dakota,108,149,33,112
Ohio,"2,079",174,74,99
Oklahoma,426,100,54,44
Oregon,909,230,40,185
Pennsylvania,"1,791",146,40,104
Rhode Island,123,127,34,87
South Carolina,546,125,29,94
South Dakota,150,162,84,78
Tennessee,537,78,44,33
Texas,"3,963",138,54,79
Utah,222,54,15,39
Vermont,18,33,11,22
Virginia,"1,062",126,66,57
Washington,834,115,31,80
West Virginia,474,280,71,207
Wisconsin,630,122,31,90
Wyoming,183,302,69,233
